"id","shiname","shiNo","shiorder","Shengid"
169,"鸡西市","4",4,16
170,"佳木斯市","5",5,16
171,"牡丹江市","6",6,16
172,"齐齐哈尔市","7",7,16
173,"七台河市","8",8,16
174,"双鸭山市","9",9,16
175,"绥化地区","10",10,16
176,"松花江地区","11",11,16
177,"鹤岗市","12",12,16
178,"黑河市","13",13,16
179,"伊春市","14",14,16
180,"武汉市","1",1,17
181,"黄冈市","2",2,17
182,"黄石市","3",3,17
183,"恩施土家族苗族自治州","4",4,17
184,"鄂州市","5",5,17
185,"荆门市","6",6,17
186,"荆沙市","7",7,17
187,"孝感市","8",8,17
188,"十堰市","9",9,17
189,"襄樊市","10",10,17
190,"咸宁地区","11",11,17
191,"宜昌市","12",12,17
192,"长沙市","1",1,18
193,"怀化地区","2",2,18
194,"郴州市","3",3,18
195,"常德市","4",4,18
196,"娄底地区","5",5,18
197,"邵阳市","6",6,18
198,"湘潭市","7",7,18
199,"湘西土家族苗族自治州","8",8,18
200,"衡阳市","9",9,18
201,"永州市","10",10,18
202,"益阳市","11",11,18
203,"岳阳市","12",12,18
204,"株洲市","13",13,18
205,"张家界市","144",14,18
206,"南昌市","1",1,19
207,"抚州地区","2",2,19
208,"赣州地区","3",3,19
209,"吉安地区","4",4,19
210,"景德镇市","5",5,19
211,"九江市","6",6,19
212,"萍乡市","7",7,19
213,"新余市","8",8,19
214,"上饶地区","9",9,19
215,"鹰潭市","10",10,19
216,"宜春地区","11",11,19
217,"长春市","1",1,20
218,"白城市","2",2,20
219,"白山市","3",3,20
220,"吉林市","4",4,20
221,"辽源市","5",5,20
222,"四平市","6",6,20
223,"松原市","7",7,20
224,"通化市","8",8,20
225,"延边朝鲜族自治州","9",9,20
226,"沈阳市","1",1,21
227,"大连市","2",2,21
228,"阜新市","3",3,21
229,"抚顺市","4",4,21
230,"本溪市","5",5,21
231,"鞍山市","6",6,21
232,"丹东市","7",7,21
233,"锦州市","8",8,21
234,"朝阳市","9",9,21
235,"辽阳市","10",10,21
236,"盘锦市","11",11,21
237,"铁岭市","12",12,21
238,"营口市","13",13,21
239,"锦西市","14",14,21
240,"呼和浩特市","1",1,22
241,"阿拉善盟","2",2,22
242,"巴彦淖尔盟","3",3,22
243,"包头市","4",4,22
244,"赤峰市","5",5,22
245,"兴安盟","6",6,22
246,"乌兰察布盟","7",7,22
247,"乌海市","8",8,22
248,"锡林郭勒盟","9",9,22
249,"呼伦贝尔盟","10",10,22
250,"伊克昭盟","11",11,22
251,"哲里木盟","12",12,22
252,"银川市","1",1,23
253,"固原地区","2",2,23
254,"石嘴山市","3",3,23
255,"银南地区","4",4,23
256,"西宁市","1",1,24
257,"海东地区","2",2,24
258,"海南藏族自治州","3",3,24
259,"海北藏族自治州","4",4,24
260,"黄南藏族自治州","5",5,24
261,"果洛藏族自治州","6",6,24
262,"海西蒙古族藏族自治州","7",7,24
263,"太原市","1",1,25
264,"大同市","2",2,25
265,"晋城市","3",3,25
266,"晋中地区","4",4,25
267,"长治市","5",5,25
268,"临汾地区","6",6,25
269,"吕梁地区","7",7,25
270,"忻州地区","8",8,25
271,"朔州市","1",1,25
272,"阳泉市","9",9,25
273,"运城地区","10",10,25
274,"西安市","1",1,26
275,"宝鸡市","2",2,26
276,"安康地区","3",3,26
277,"商洛地区","4",4,26
278,"铜川市","5",5,26
279,"渭南地区","6",6,26
280,"渭南地区","7",7,26
281,"延安地区","8",8,26
282,"汉中地区","9",9,26
283,"榆林地区","10",10,26
284,"成都市","1",1,27
285,"达川地区","2",2,27
286,"甘孜藏族自治州","3",3,27
287,"自贡市","4",4,27
288,"阿坝藏族羌族自治州","5",5,27
289,"巴中地区","6",6,27
290,"德阳市","7",7,27
291,"广安地区","8",8,27
292,"广元市","9",9,27
293,"凉山彝族自治州","10",10,27
294,"乐山市","11",11,27
295,"攀枝花市","12",12,27
296,"南充市","13",13,27
297,"内江市","14",14,27
298,"泸州市","15",15,27
299,"绵阳市","16",16,27
300,"遂宁市","17",17,27
301,"雅安地区","18",18,27
302,"宜宾地区","19",19,27
303,"天津市","1",1,28
304,"乌鲁木齐市","1",1,29
305,"喀什地区","2",2,29
306,"克孜勒苏柯尔克孜自治州","3",3,29
307,"克拉玛依市","4",4,29
308,"阿克苏地区","5",5,29
309,"阿勒泰地区","6",6,29
310,"巴音郭楞蒙古自治州","7",7,29
311,"哈密地区","8",8,29
312,"博尔塔拉蒙古自治州","9",9,29
313,"昌吉回族自治州","10",10,29
314,"塔城地区","11",11,29
315,"吐鲁番地区","12",12,29
316,"和田地区","13",13,29
317,"伊犁地区","14",14,29
318,"伊犁哈萨克自治州","15",15,29
319,"石河子市","16",16,29
320,"拉萨市","1",1,30
321,"阿里地区","2",2,30
322,"昌都地区","3",3,30
323,"林芝地区","4",4,30
324,"那曲地区","5",5,30
325,"山南地区","6",6,30
326,"日喀则地区","7",7,30
327,"昆明市","1",1,31
328,"大理白族自治州","2",2,31
329,"东川市","3",3,31
330,"保山地区","4",4,31
331,"德宏傣族景颇族自治州","5",5,31
332,"迪庆藏族自治州","6",6,31
333,"楚雄彝族自治州","7",7,31
334,"临沧地区","8",8,31
335,"丽江地区","9",9,31
336,"怒江傈僳族自治州","9",9,31
337,"曲靖地区","10",10,31
338,"思茅地区","11",11,31
339,"西双版纳傣族自治州","12",12,31
340,"文山壮族苗族自治州","13",13,31
341,"红河哈尼族彝族自治州","14",14,31
342,"玉溪地区","15",15,31
343,"昭通地区","16",16,31
344,"香港","1",1,32
345,"澳门","1",1,33
346,"台湾","1",1,34
347,"国外与其它","1",1,35
349,"蓬莱市","18",18,3
350,"海口市","0898",1,13
